,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
142,PAK,46.75000000000001,Pakistan,25.462184873949578,2020.0,225112860.0,58.6,73.2,42.6,44.1,59.7,36.9,49.4,50.2,59.0,30.8,90.1,45.9,94.2,96.8,63.2,66.5,47.1,46.2,59.557142857142864,43.60406162464986,143,55.654421768707486,42.62220221421902,137
143,MDG,47.37500000000001,Madagascar,33.27731092436974,2020.0,27879131.0,50.0,3.6,53.3,34.6,54.2,67.9,44.9,36.6,64.5,9.2,40.2,52.6,96.7,99.4,65.9,42.5,41.5,42.7,48.15714285714285,43.55077030812325,144,46.243537414965985,42.29861611311191,139
144,TGO,43.75,Togo,30.588235294117652,2020.0,8342236.0,55.8,28.3,60.7,45.3,78.9,42.1,50.9,27.2,70.6,22.5,41.6,42.5,96.3,98.9,70.9,77.6,43.4,50.2,49.800000000000004,43.37941176470588,145,44.38095238095238,39.573062558356675,152
145,MMR,48.99999999999999,Burma (Myanmar),16.80672268907563,2020.0,53227971.0,63.1,77.8,65.6,55.5,61.1,58.2,68.5,44.6,61.8,29.9,87.2,64.3,94.7,97.5,47.7,51.9,57.9,47.8,62.971428571428575,42.968907563025205,146,53.43197278911565,39.746231826063756,151
146,IRQ,43.625,Iraq,22.01680672268908,2020.0,42042951.0,63.0,,52.4,60.9,69.9,42.9,62.6,63.9,58.3,34.6,91.5,57.2,86.2,86.0,69.5,40.9,64.0,67.0,64.62857142857142,42.88060224089636,147,61.20204081632652,42.2812825130052,140
147,DJI,,Djibouti,32.52100840336135,2020.0,1082344.0,51.9,61.2,52.5,51.9,22.5,37.5,57.7,16.7,53.6,32.5,44.4,71.0,87.8,90.6,57.6,38.1,55.9,50.7,51.52857142857143,42.21050420168068,148,50.877551020408156,41.699279711884756,141
148,COM,,Comoros,31.680672268907564,2020.0,798326.0,52.6,51.0,44.7,57.5,38.1,33.8,49.0,39.2,43.3,24.7,25.6,58.6,95.8,99.1,43.1,72.2,57.7,61.1,49.714285714285715,42.14033613445378,149,43.119727891156465,37.400200080032015,156
149,BFA,49.25,Burkina Faso,24.789915966386555,2020.0,21231893.0,51.4,24.3,60.3,46.4,25.1,40.4,44.8,21.1,71.5,19.3,22.1,61.3,95.7,98.8,,87.9,50.3,53.3,48.642857142857146,41.813305322128855,150,46.220408163265304,40.086774709883954,148
150,LBR,48.62500000000001,Liberia,26.72268907563025,2020.0,5034191.0,49.6,24.2,47.6,34.9,37.1,44.6,53.0,13.3,65.0,10.7,72.1,29.0,96.1,98.9,83.6,47.6,42.9,43.3,46.271428571428565,41.64922969187675,151,44.01428571428571,39.78732492997199,149
151,MRT,41.25,Mauritania,26.974789915966383,2020.0,4440933.0,56.6,74.3,47.1,51.5,39.4,38.5,58.2,37.6,50.4,23.8,81.8,45.1,91.4,97.3,71.6,51.1,51.7,51.4,55.35714285714287,41.60826330532213,152,48.11700680272109,38.78059890622916,155
