,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
252,MONACO,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
254,MONGOLIA,Thousands,305,345,408,455,469,465,557,627,624,515,506,467,471,543,598,637,67,39,301
256,MONTENEGRO,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
258,MONTSERRAT,Thousands,"15,2","13,1","9,5","8,7","8,4","7,3","7,7","7,4","9,9","8,7","10,7","13,3","13,5","18,6","16,7","19,3","7,7","1,6",..
260,MOROCCO,Thousands,5 732,6 077,6 777,7 701,8 209,8 661,9 752,9 784,9 830,10 349,10 507,10 542,10 677,11 540,12 489,13 109,2 802,3 722,10 968
262,MOZAMBIQUE,Thousands,711,954,1 095,1 259,1 439,1 711,1 836,2 013,2 206,1 970,1 751,1 634,1 715,1 514,2 870,2 033,959,549,879
264,MYANMAR,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
266,NAMIBIA,Thousands,986,856,961,1 048,1 079,1 100,1 114,1 163,1 245,1 327,1 429,1 488,1 551,1 581,1 639,1 651,187,261,528
268,NAURU,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
270,NEPAL,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
272,NETHERLANDS,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
274,NEW CALEDONIA,Thousands,177,182,219,227,256,230,282,348,390,494,529,558,625,626,576,474,79,..,139
276,NEW ZEALAND,Thousands,2 334,2 366,2 409,2 455,2 483,2 473,2 530,2 617,2 574,2 710,2 854,3 129,3 494,3 723,3 858,3 888,996,207,1 434
278,NICARAGUA,Thousands,735,804,891,978,1 011,1 010,1 071,1 122,1 233,1 273,1 390,1 456,1 596,1 958,1 412,1 455,474,312,933
280,NIGER,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
282,NIGERIA,Thousands,2 646,2 778,3 056,5 239,5 820,6 053,6 113,3 765,4 673,4 038,4 803,6 017,5 265,5 182,5 254,5 361,1 209,1 246,1 271
284,NIUE,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,"11,6",..,..,..,..,..
286,NORTH MACEDONIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
288,NORTHERN MARIANA ISLANDS,Thousands,536,507,436,389,397,354,379,341,401,439,460,479,531,660,518,487,89,13,97
290,NORWAY,Thousands,5 130,5 418,5 738,6 017,6 054,6 114,6 578,6 693,..,..,..,..,..,..,..,..,..,..,..
