;countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
703;MARSHALL ISLANDS;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;6,5;7,9;..;..;2,0;..;..
707;MARTINIQUE;;;;;;;;;;;;;;;;;;;;;;;;
709;MARTINIQUE;;Total arrivals;;;Thousands;630;577;599;573;568;511;553;538;603;622;696;762;842;1 003;1 002;919;524;312;661
713;MAURITANIA;;;;;;;;;;;;;;;;;;;;;;;;
715;MAURITANIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
719;MAURITIUS;;;;;;;;;;;;;;;;;;;;;;;;
721;MAURITIUS;;Total arrivals;;;Thousands;739;782;807;933;970;890;956;983;984;1 015;1 065;1 174;1 307;1 371;1 431;1 418;316;180;1 003
725;MEXICO;;;;;;;;;;;;;;;;;;;;;;;;
727;MEXICO;;Total arrivals;;;Thousands;99 250;103 146;97 701;93 582;92 948;88 044;81 953;75 732;76 749;78 100;81 042;87 129;94 853;99 349;96 497;97 406;51 128;55 301;65 995
731;MICRONESIA, FEDERATED STATES OF;;;;;;;;;;;;;;;;;;;;;;;;
733;MICRONESIA, FEDERATED STATES OF;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
737;MOLDOVA, REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
739;MOLDOVA, REPUBLIC OF;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
743;MONACO;;;;;;;;;;;;;;;;;;;;;;;;
745;MONACO;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
749;MONGOLIA;;;;;;;;;;;;;;;;;;;;;;;;
751;MONGOLIA;;Total arrivals;;;Thousands;305;345;408;455;469;465;557;627;624;515;506;467;471;543;598;637;67;39;301
755;MONTENEGRO;;;;;;;;;;;;;;;;;;;;;;;;
757;MONTENEGRO;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
761;MONTSERRAT;;;;;;;;;;;;;;;;;;;;;;;;
763;MONTSERRAT;;Total arrivals;;;Thousands;15,2;13,1;9,5;8,7;8,4;7,3;7,7;7,4;9,9;8,7;10,7;13,3;13,5;18,6;16,7;19,3;7,7;1,6;..
767;MOROCCO;;;;;;;;;;;;;;;;;;;;;;;;
769;MOROCCO;;Total arrivals;;;Thousands;5 732;6 077;6 777;7 701;8 209;8 661;9 752;9 784;9 830;10 349;10 507;10 542;10 677;11 540;12 489;13 109;2 802;3 722;10 968
773;MOZAMBIQUE;;;;;;;;;;;;;;;;;;;;;;;;
775;MOZAMBIQUE;;Total arrivals;;;Thousands;711;954;1 095;1 259;1 439;1 711;1 836;2 013;2 206;1 970;1 751;1 634;1 715;1 514;2 870;2 033;959;549;879
779;MYANMAR;;;;;;;;;;;;;;;;;;;;;;;;
781;MYANMAR;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
785;NAMIBIA;;;;;;;;;;;;;;;;;;;;;;;;
787;NAMIBIA;;Total arrivals;;;Thousands;986;856;961;1 048;1 079;1 100;1 114;1 163;1 245;1 327;1 429;1 488;1 551;1 581;1 639;1 651;187;261;528
791;NAURU;;;;;;;;;;;;;;;;;;;;;;;;
793;NAURU;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
797;NEPAL;;;;;;;;;;;;;;;;;;;;;;;;
799;NEPAL;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
803;NETHERLANDS;;;;;;;;;;;;;;;;;;;;;;;;
805;NETHERLANDS;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
809;NEW CALEDONIA;;;;;;;;;;;;;;;;;;;;;;;;
811;NEW CALEDONIA;;Total arrivals;;;Thousands;177;182;219;227;256;230;282;348;390;494;529;558;625;626;576;474;79;..;139
815;NEW ZEALAND;;;;;;;;;;;;;;;;;;;;;;;;
817;NEW ZEALAND;;Total arrivals;;;Thousands;2 334;2 366;2 409;2 455;2 483;2 473;2 530;2 617;2 574;2 710;2 854;3 129;3 494;3 723;3 858;3 888;996;207;1 434
821;NICARAGUA;;;;;;;;;;;;;;;;;;;;;;;;
823;NICARAGUA;;Total arrivals;;;Thousands;735;804;891;978;1 011;1 010;1 071;1 122;1 233;1 273;1 390;1 456;1 596;1 958;1 412;1 455;474;312;933
827;NIGER;;;;;;;;;;;;;;;;;;;;;;;;
829;NIGER;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
833;NIGERIA;;;;;;;;;;;;;;;;;;;;;;;;
835;NIGERIA;;Total arrivals;;;Thousands;2 646;2 778;3 056;5 239;5 820;6 053;6 113;3 765;4 673;4 038;4 803;6 017;5 265;5 182;5 254;5 361;1 209;1 246;1 271
839;NIUE;;;;;;;;;;;;;;;;;;;;;;;;
841;NIUE;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;11,6;..;..;..;..;..
845;NORTH MACEDONIA;;;;;;;;;;;;;;;;;;;;;;;;
847;NORTH MACEDONIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
851;NORTHERN MARIANA ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
853;NORTHERN MARIANA ISLANDS;;Total arrivals;;;Thousands;536;507;436;389;397;354;379;341;401;439;460;479;531;660;518;487;89;13;97
857;NORWAY;;;;;;;;;;;;;;;;;;;;;;;;
859;NORWAY;;Total arrivals;;;Thousands;5 130;5 418;5 738;6 017;6 054;6 114;6 578;6 693;..;..;..;..;..;..;..;..;..;..;..
863;OMAN;;;;;;;;;;;;;;;;;;;;;;;;
865;OMAN;;Total arrivals;;;Thousands;1 407;1 101;1 385;1 360;1 540;1 584;1 500;1 393;1 714;1 923;2 225;2 634;3 207;3 178;3 242;3 506;869;652;2 920
869;PAKISTAN;;;;;;;;;;;;;;;;;;;;;;;;
871;PAKISTAN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
875;PALAU;;;;;;;;;;;;;;;;;;;;;;;;
877;PALAU;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
881;PANAMA;;;;;;;;;;;;;;;;;;;;;;;;
883;PANAMA;;Total arrivals;;;Thousands;1 004;1 070;1 215;1 428;1 575;1 562;1 726;2 004;2 086;2 202;2 305;2 553;2 379;2 517;2 487;2 494;647;804;1 946
887;PAPUA NEW GUINEA;;;;;;;;;;;;;;;;;;;;;;;;
889;PAPUA NEW GUINEA;;Total arrivals;;;Thousands;..;..;..;..;120;126;146;165;175;182;191;199;198;182;195;211;39;17;69
893;PARAGUAY;;;;;;;;;;;;;;;;;;;;;;;;
895;PARAGUAY;;Total arrivals;;;Thousands;2 589;2 648;2 830;3 005;3 118;3 183;3 171;3 365;3 655;3 538;3 455;4 102;4 318;4 744;4 183;4 368;1 077;571;1 548
899;PERU;;;;;;;;;;;;;;;;;;;;;;;;
901;PERU;;Total arrivals;;;Thousands;1 650;1 938;2 227;2 451;2 581;2 681;2 948;3 299;3 642;4 010;4 062;4 381;4 718;4 992;5 384;5 275;1 119;444;2 279
905;PHILIPPINES;;;;;;;;;;;;;;;;;;;;;;;;
907;PHILIPPINES;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
911;POLAND;;;;;;;;;;;;;;;;;;;;;;;;
913;POLAND;;Total arrivals;;;Thousands;61 918;64 606;65 115;66 208;59 935;53 840;58 340;60 745;67 390;72 310;73 750;77 743;80 476;83 804;85 946;88 515;51 076;51 026;71 814
917;PORTUGAL;;;;;;;;;;;;;;;;;;;;;;;;
919;PORTUGAL;;Total arrivals;;;Thousands;21 165;21 173;22 588;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
923;PUERTO RICO;;;;;;;;;;;;;;;;;;;;;;;;
925;PUERTO RICO;;Total arrivals;;;Thousands;4 889;5 073;5 022;5 062;5 213;4 415;4 379;4 214;4 197;4 210;4 456;5 051;5 003;4 927;4 260;4 931;3 882;2 755;3 638
929;QATAR;;;;;;;;;;;;;;;;;;;;;;;;
931;QATAR;;Total arrivals;;;Thousands;..;..;..;..;..;1 482;1 700;2 057;2 324;2 612;2 839;2 941;2 938;2 256;1 819;2 137;582;611;2 560
935;REUNION;;;;;;;;;;;;;;;;;;;;;;;;
937;REUNION;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;551;574;601;255;..;..
941;ROMANIA;;;;;;;;;;;;;;;;;;;;;;;;
943;ROMANIA;;Total arrivals;;;Thousands;6 600;5 839;6 037;7 722;8 862;7 575;7 498;7 611;7 937;8 019;8 442;9 331;10 223;10 926;11 720;12 815;5 023;6 789;12 697
947;RUSSIAN FEDERATION;;;;;;;;;;;;;;;;;;;;;;;;
949;RUSSIAN FEDERATION;;Total arrivals;;;Thousands;22 064;22 201;22 486;22 909;23 676;21 339;22 281;24 932;28 177;30 792;32 421;33 729;24 571;24 390;24 551;24 419;6 359;..;..
953;RWANDA;;;;;;;;;;;;;;;;;;;;;;;;
955;RWANDA;;Total arrivals;;;Thousands;..;..;531;610;669;664;667;908;1 061;1 122;1 220;1 298;1 377;1 570;1 711;1 634;497;511;..
959;SABA;;;;;;;;;;;;;;;;;;;;;;;;
961;SABA;;Total arrivals;;;Thousands;23,2;24,9;22,9;21,7;22,5;23,7;22,5;..;..;..;..;..;..;..;..;..;..;..;..
965;SAINT KITTS AND NEVIS;;;;;;;;;;;;;;;;;;;;;;;;
967;SAINT KITTS AND NEVIS;;Total arrivals;;;Thousands;383;365;350;379;533;548;624;723;666;695;818;1 036;1 055;1 194;1 278;1 107;301;123;589
971;SAINT LUCIA;;;;;;;;;;;;;;;;;;;;;;;;
973;SAINT LUCIA;;Total arrivals;;;Thousands;791;720;670;905;925;982;984;950;889;921;987;1 031;948;1 064;1 165;1 220;433;297;714
977;SAINT VINCENT AND THE GRENADINES;;;;;;;;;;;;;;;;;;;;;;;;
979;SAINT VINCENT AND THE GRENADINES;;Total arrivals;;;Thousands;262;256;306;328;250;271;231;208;200;200;205;207;227;304;356;399;155;57;210
983;SAMOA;;;;;;;;;;;;;;;;;;;;;;;;
985;SAMOA;;Total arrivals;;;Thousands;..;..;116;122;122;129;130;128;135;125;132;139;146;158;172;181;24;3;51
989;SAN MARINO;;;;;;;;;;;;;;;;;;;;;;;;
991;SAN MARINO;;Total arrivals;;;Thousands;2 812;2 107;2 136;2 164;2 112;2 056;1 976;2 038;1 869;1 905;2 004;1 888;2 000;1 937;1 874;1 904;1 015;1 354;..
995;SAO TOME AND PRINCIPE;;;;;;;;;;;;;;;;;;;;;;;;
997;SAO TOME AND PRINCIPE;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1001;SAUDI ARABIA;;;;;;;;;;;;;;;;;;;;;;;;
1003;SAUDI ARABIA;;Total arrivals;;;Thousands;11 083;10 417;10 962;13 479;17 717;13 319;13 025;15 776;19 847;19 934;23 010;21 834;20 887;18 607;17 570;20 292;4 882;3 869;18 256
1007;SENEGAL;;;;;;;;;;;;;;;;;;;;;;;;
1009;SENEGAL;;Total arrivals;;;Thousands;677;779;876;879;877;815;906;977;967;1 069;976;1 014;1 219;1 376;..;..;..;..;..
1013;SERBIA;;;;;;;;;;;;;;;;;;;;;;;;
1015;SERBIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1019;SERBIA AND MONTENEGRO;;;;;;;;;;;;;;;;;;;;;;;;
1021;SERBIA AND MONTENEGRO;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1025;SEYCHELLES;;;;;;;;;;;;;;;;;;;;;;;;
1027;SEYCHELLES;;Total arrivals;;;Thousands;126;135;151;171;173;178;191;210;216;237;239;296;333;382;405;428;125;183;339
1031;SIERRA LEONE;;;;;;;;;;;;;;;;;;;;;;;;
1033;SIERRA LEONE;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;75;95;53;31;60;59;66;71;26;44;..
1037;SINGAPORE;;;;;;;;;;;;;;;;;;;;;;;;
1039;SINGAPORE;;Total arrivals;;;Thousands;8 329;8 943;9 751;10 285;10 116;9 683;11 642;13 171;14 496;15 568;15 095;15 232;16 403;17 425;18 508;19 116;2 742;330;6 306
1043;SINT EUSTATIUS;;;;;;;;;;;;;;;;;;;;;;;;
1045;SINT EUSTATIUS;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1049;SINT MAARTEN (DUTCH PART);;;;;;;;;;;;;;;;;;;;;;;;
1051;SINT MAARTEN (DUTCH PART);;Total arrivals;;;Thousands;1 823;1 956;1 890;1 891;1 821;1 655;1 956;2 080;2 210;2 253;2 502;2 407;2 197;1 640;1 775;1 952;542;482;1 217
1055;SLOVAKIA;;;;;;;;;;;;;;;;;;;;;;;;
1057;SLOVAKIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;12 583;11 556;14 936;17 376;15 406;15 299;16 086;..;..;..
1061;SLOVENIA;;;;;;;;;;;;;;;;;;;;;;;;
1063;SLOVENIA;;Total arrivals;;;Thousands;63 013;60 230;58 274;61 293;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1067;SOLOMON ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
1069;SOLOMON ISLANDS;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1073;SOMALIA;;;;;;;;;;;;;;;;;;;;;;;;
1075;SOMALIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1079;SOUTH AFRICA;;;;;;;;;;;;;;;;;;;;;;;;
1081;SOUTH AFRICA;;Total arrivals;;;Thousands;6 815;7 518;8 509;9 208;9 729;9 532;11 303;12 097;13 069;14 318;14 530;13 952;15 121;14 975;15 004;14 797;3 887;2 664;7 342
1085;SOUTH SUDAN;;;;;;;;;;;;;;;;;;;;;;;;
1087;SOUTH SUDAN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1091;SPAIN;;;;;;;;;;;;;;;;;;;;;;;;
1093;SPAIN;;Total arrivals;;;Thousands;85 981;92 563;96 152;98 907;97 670;91 899;93 744;99 187;98 128;103 231;107 144;109 834;115 561;121 717;124 456;126 170;36 410;51 631;104 968
1097;SRI LANKA;;;;;;;;;;;;;;;;;;;;;;;;
1099;SRI LANKA;;Total arrivals;;;Thousands;681;669;689;592;526;538;766;976;1 133;1 415;1 665;1 993;2 168;2 248;2 521;2 027;540;195;759
1103;STATE OF PALESTINE;;;;;;;;;;;;;;;;;;;;;;;;
1105;STATE OF PALESTINE;;Total arrivals;;;Thousands;..;..;..;928;1 487;1 740;2 821;2 730;3 051;2 874;2 907;2 054;2 231;3 192;3 429;4 232;1 000;..;..
1109;SUDAN;;;;;;;;;;;;;;;;;;;;;;;;
1111;SUDAN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1115;SURINAME;;;;;;;;;;;;;;;;;;;;;;;;
1117;SURINAME;;Total arrivals;;;Thousands;..;..;154;167;151;151;206;221;240;250;253;229;257;279;..;..;..;..;..
1121;SWEDEN;;;;;;;;;;;;;;;;;;;;;;;;
1123;SWEDEN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;19 405;20 011;18 803;19 945;..;..;..;..;..;..;..;..
1127;SWITZERLAND;;;;;;;;;;;;;;;;;;;;;;;;
1129;SWITZERLAND;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1133;SYRIAN ARAB REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
1135;SYRIAN ARAB REPUBLIC;;Total arrivals;;;Thousands;6 334;5 859;5 682;5 434;6 951;7 721;10 970;6 476;..;..;..;..;1 043;1 291;1 802;2 424;479;661;..
1139;TAIWAN PROVINCE OF CHINA;;;;;;;;;;;;;;;;;;;;;;;;
1141;TAIWAN PROVINCE OF CHINA;;Total arrivals;;;Thousands;2 950;3 378;3 520;3 716;3 845;4 395;5 567;6 087;7 311;8 016;9 910;10 440;10 690;10 740;11 067;11 864;1 378;140;896
1145;TAJIKISTAN;;;;;;;;;;;;;;;;;;;;;;;;
1147;TAJIKISTAN;;Total arrivals;;;Thousands;..;..;..;..;325;207;160;183;244;208;213;414;344;431;1 035;1 257;351;296;..
1151;TANZANIA, UNITED REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
1153;TANZANIA, UNITED REPUBLIC OF;;Total arrivals;;;Thousands;583;613;644;719;770;714;783;868;1 077;1 096;1 140;1 137;1 284;1 327;1 506;1 527;621;1 027;..
1157;THAILAND;;;;;;;;;;;;;;;;;;;;;;;;
1159;THAILAND;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1163;TIMOR-LESTE;;;;;;;;;;;;;;;;;;;;;;;;
1165;TIMOR-LESTE;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1169;TOGO;;;;;;;;;;;;;;;;;;;;;;;;
1171;TOGO;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1175;TONGA;;;;;;;;;;;;;;;;;;;;;;;;
1177;TONGA;;Total arrivals;;;Thousands;51;60;54;65;65;75;65;68;57;60;66;73;87;87;77;94;12;0;22
1181;TRINIDAD AND TOBAGO;;;;;;;;;;;;;;;;;;;;;;;;
1183;TRINIDAD AND TOBAGO;;Total arrivals;;;Thousands;501;529;534;531;482;534;490;491;504;467;459;522;498;470;508;482;141;41;253
1187;TUNISIA;;;;;;;;;;;;;;;;;;;;;;;;
1189;TUNISIA;;Total arrivals;;;Thousands;6 419;6 975;7 176;7 512;7 750;8 507;8 640;6 038;..;..;..;..;..;..;..;..;..;..;..
1193;TÜRKIYE;;;;;;;;;;;;;;;;;;;;;;;;
1195;TÜRKIYE;;Total arrivals;;;Thousands;17 517;21 125;19 820;27 215;31 138;31 760;32 997;36 769;37 715;39 861;41 627;41 114;30 907;37 970;46 113;51 747;15 971;30 039;51 388
1199;TURKMENISTAN;;;;;;;;;;;;;;;;;;;;;;;;
1201;TURKMENISTAN;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1205;TURKS AND CAICOS ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
1207;TURKS AND CAICOS ISLANDS;;Total arrivals;;;Thousands;..;..;..;..;757;865;899;1 010;968;1 069;1 330;1 316;1 296;1 243;1 463;1 599;370;432;..
1211;TUVALU;;;;;;;;;;;;;;;;;;;;;;;;
1213;TUVALU;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1217;UGANDA;;;;;;;;;;;;;;;;;;;;;;;;
1219;UGANDA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1223;UKRAINE;;;;;;;;;;;;;;;;;;;;;;;;
1225;UKRAINE;;Total arrivals;;;Thousands;18 583;20 489;21 714;26 162;28 827;24 033;24 114;24 535;25 061;26 025;13 227;13 025;13 734;14 579;14 342;13 710;3 382;4 272;2 307
1229;UNITED ARAB EMIRATES;;;;;;;;;;;;;;;;;;;;;;;;
1231;UNITED ARAB EMIRATES;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;19 313;20 894;21 805;23 092;25 282;8 084;12 784;..
1235;UNITED KINGDOM;;;;;;;;;;;;;;;;;;;;;;;;
1237;UNITED KINGDOM;;Total arrivals;;;Thousands;27 755;29 970;32 713;32 778;31 888;31 072;30 398;31 886;32 221;33 567;35 337;36 792;39 129;41 080;40 283;40 857;11 101;6 384;31 244
1241;UNITED STATES OF AMERICA;;;;;;;;;;;;;;;;;;;;;;;;
1243;UNITED STATES OF AMERICA;;Total arrivals;;;Thousands;67 606;71 484;183 178;175 299;175 703;160 508;162 275;147 271;171 630;179 310;178 311;176 865;175 261;174 292;169 325;165 478;44 792;66 594;..
1247;UNITED STATES VIRGIN ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
1249;UNITED STATES VIRGIN ISLANDS;;Total arrivals;;;Thousands;2 620;2 602;2 571;2 606;2 435;2 245;2 531;2 686;2 640;2 702;2 814;2 643;2 574;1 954;1 922;2 074;862;1 072;..
1253;URUGUAY;;;;;;;;;;;;;;;;;;;;;;;;
1255;URUGUAY;;Total arrivals;;;Thousands;1 871;1 917;1 824;1 815;2 255;2 303;2 708;3 244;3 155;3 242;3 195;3 286;3 632;4 219;3 954;3 480;..;234;..
1259;UZBEKISTAN;;;;;;;;;;;;;;;;;;;;;;;;
1261;UZBEKISTAN;;Total arrivals;;;Thousands;262;242;560;903;1 069;1 215;975;1 393;1 895;1 969;1 862;1 918;2 027;2 690;5 346;6 749;1 504;1 881;5 233
1265;VANUATU;;;;;;;;;;;;;;;;;;;;;;;;
1267;VANUATU;;Total arrivals;;;Thousands;99;126;154;167;197;226;238;249;321;357;329;287;352;333;350;256;82;..;65
1271;VENEZUELA, BOLIVARIAN REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
1273;VENEZUELA, BOLIVARIAN REPUBLIC OF;;Total arrivals;;;Thousands;618;846;883;898;702;567;535;625;1 061;1 085;967;882;681;429;..;..;..;..;..
1277;VIET NAM;;;;;;;;;;;;;;;;;;;;;;;;
1279;VIET NAM;;Total arrivals;;;Thousands;2 928;3 477;3 583;4 229;4 236;3 747;5 050;6 014;6 848;7 572;7 874;7 944;10 013;12 922;15 498;18 009;3 837;157;3 661
1283;YEMEN;;;;;;;;;;;;;;;;;;;;;;;;
1285;YEMEN;;Total arrivals;;;Thousands;..;..;..;..;..;..;1 035;1 175;1 282;1 323;1 218;398;..;..;..;..;..;..;..
1289;ZAMBIA;;;;;;;;;;;;;;;;;;;;;;;;
1291;ZAMBIA;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
1295;ZIMBABWE;;;;;;;;;;;;;;;;;;;;;;;;
1297;ZIMBABWE;;Total arrivals;;;Thousands;1 854;1 559;2 287;2 506;1 956;2 017;2 239;2 423;1 794;1 833;1 880;2 057;2 168;2 423;2 580;2 294;639;381;1 044
