Unnamed: 0,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
182,ISRAEL,Thousands,1506.0,1916.0,1834.0,2294.0,3034.0,2740.0,3444.0,3362.0,3520.0,3540.0,3251.0,3109.0,3070.0,3863.0,4389.0,4905.0,887.0,402.0,2851.0
184,ITALY,Thousands,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93229.0,95399.0,38419.0,40186.0,74317.0
186,JAMAICA,Thousands,2515.0,2615.0,3016.0,2880.0,2859.0,2753.0,2832.0,3077.0,3306.0,3274.0,3504.0,3692.0,3837.0,4276.0,4319.0,4234.0,1330.0,1535.0,3331.0
188,JAPAN,Thousands,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31192.0,31882.0,4116.0,246.0,3832.0
190,JORDAN,Thousands,5587.0,5817.0,6573.0,6529.0,7100.0,7085.0,8078.0,6813.0,6314.0,5389.0,5327.0,4809.0,4236.0,4565.0,4922.0,5361.0,1240.0,2359.0,5049.0
192,KAZAKHSTAN,Thousands,4291.0,4365.0,4707.0,5311.0,4117.0,3774.0,4097.0,5685.0,6163.0,6841.0,6333.0,6430.0,6509.0,7701.0,8789.0,8515.0,2035.0,1330.0,4729.0
194,KENYA,Thousands,1361.0,1479.0,1601.0,1817.0,1203.0,1490.0,1609.0,1823.0,1711.0,1520.0,1350.0,1181.0,1340.0,1449.0,2025.0,2049.0,568.0,870.0,1484.0
196,KIRIBATI,Thousands,64.0,50.0,11.0,32.0,,,,,,,8.3,8.2,7.6,7.5,9.0,12.0,,,
198,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",Thousands,,,,,,,,,,,,,,,,,,,
200,"KOREA, REPUBLIC OF",Thousands,5818.0,6023.0,6155.0,6448.0,6891.0,7818.0,8798.0,9795.0,11140.0,12176.0,14202.0,13232.0,17242.0,13336.0,15347.0,17503.0,2519.0,967.0,3198.0
202,KUWAIT,Thousands,3056.0,3474.0,3899.0,4482.0,4736.0,5088.0,5208.0,5574.0,5729.0,6217.0,6528.0,6941.0,7055.0,7407.0,8508.0,8565.0,2161.0,1606.0,
204,KYRGYZSTAN,Thousands,398.0,319.0,766.0,1656.0,2379.0,2451.0,1224.0,3025.0,3393.0,4134.0,3791.0,4000.0,3853.0,4568.0,6947.0,8508.0,2079.0,3169.0,6901.0
206,LAO PEOPLE´S DEMOCRATIC REPUBLIC,Thousands,895.0,1095.0,1215.0,1624.0,1737.0,2008.0,2513.0,2724.0,3330.0,3779.0,4159.0,4684.0,4239.0,3869.0,4186.0,4791.0,886.0,,
208,LATVIA,Thousands,3127.0,3791.0,4649.0,5209.0,5496.0,4727.0,5042.0,5538.0,5569.0,5822.0,6246.0,6842.0,6797.0,7726.0,7775.0,8342.0,3204.0,1937.0,
210,LEBANON,Thousands,,,,,,,,,,,,,,,,,,,
212,LESOTHO,Thousands,304.0,304.0,357.0,300.0,293.0,344.0,426.0,398.0,423.0,433.0,1079.0,1082.0,1196.0,1137.0,1173.0,1142.0,,279.0,
214,LIBERIA,Thousands,,,,,,,,,,,,,,,,,,,
216,LIBYA,Thousands,,,125.0,106.0,760.0,,,,,,,,,,,,,,
218,LIECHTENSTEIN,Thousands,,,,,,,,,,,,,,,,,,,
220,LITHUANIA,Thousands,,,,4251.0,4459.0,4001.0,4073.0,4504.0,4979.0,5264.0,5217.0,5048.0,5322.0,5590.0,6115.0,6150.0,2284.0,2096.0,4725.0
222,LUXEMBOURG,Thousands,,,,,,,,,,,,,,,,,,,
