countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;116;103;126;172;250;280;297;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;63;63;64;74;74;67;71;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;53;40;62;98;176;213;226;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;53;40;62;98;176;213;226;..;..;..;..;..;..;..;..;..;..;..;..
BOSNIA AND HERZEGOVINA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;190;217;256;306;322;311;365;392;439;529;536;678;778;923;1 053;1 198;197;502;915
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BOTSWANA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 727;1 684;1 642;1 965;2 344;..;..;..;..;..;..;1 660;1 712;1 775;1 830;1 555;358;338;..
;;;Overnights visitors (tourists);;Thousands;1 523;1 474;1 426;1 736;2 101;1 721;1 973;..;1 614;1 544;1 966;1 528;1 574;1 623;1 655;1 455;329;314;..
;;;Same-day visitors (excursionists);;Thousands;204;210;216;229;243;..;..;..;..;..;..;132;138;152;176;101;30;24;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BRAZIL;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;4 794;5 358;5 017;5 026;5 050;4 802;5 161;5 433;5 677;5 813;6 430;6 306;6 547;6 589;6 621;6 353;2 146;746;3 630
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BRITISH VIRGIN ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;813;821;825;948;934;857;842;831;753;742;773;922;1 124;..;..;895;..;..;..
;;;Overnights visitors (tourists);;Thousands;304;337;356;358;346;309;330;338;351;366;386;393;408;335;192;302;83;56;173
;;;Same-day visitors (excursionists);;Thousands;509;483;469;590;588;548;512;493;402;376;387;529;717;..;..;593;..;..;..
;;;;of which, cruise passengers;Thousands;467;449;444;575;572;530;501;485;391;367;361;516;699;410;201;575;219;70;344
BRUNEI DARUSSALAM;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;815;836;877;..;..;..;..;..;..;..;..;4 257;4 316;4 521;4 449;1 071;110;..
;;;Overnights visitors (tourists);;Thousands;119;126;158;179;226;157;214;242;209;225;201;218;219;259;278;333;62;4;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;25;11;19;15;2;..;..
;;;;of which, cruise passengers;Thousands;..;4;1;..;..;..;..;..;..;..;..;..;25;11;19;15;2;..;..
BULGARIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;6 982;7 282;7 499;7 726;8 533;7 873;8 374;8 713;8 867;9 192;9 409;9 317;10 604;11 596;12 368;12 552;4 973;7 188;10 888
;;;Overnights visitors (tourists);;Thousands;4 630;4 837;5 158;5 151;5 780;5 739;6 047;6 328;6 541;6 898;7 311;7 099;8 252;8 883;9 273;7 775;1 290;2 300;5 557
;;;Same-day visitors (excursionists);;Thousands;2 352;2 445;2 341;2 574;2 753;2 134;2 327;2 385;2 326;2 294;2 098;2 218;2 352;2 713;3 095;4 777;3 683;4 888;5 332
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BURKINA FASO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;222;245;264;289;272;269;274;238;237;218;191;163;152;143;144;143;67;106;116
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
BURUNDI;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;133;148;214;192;202;212;142;144;147;234;235;131;187;299;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CABO VERDE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;157;198;242;267;285;287;336;428;482;503;494;520;598;668;710;758;180;135;785
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CAMBODIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;1 055;1 422;1 700;2 015;2 125;2 162;2 508;2 882;3 584;4 210;4 503;4 775;5 012;5 602;6 201;6 611;1 306;196;2 277
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CAMEROON;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;451;477;487;498;573;604;817;783;822;897;994;1 081;997;1 021;616;963;539
;;;Overnights visitors (tourists);;Thousands;190;176;..;..;480;495;569;600;812;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;7;3;4;4;5;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;1;2;1;1;1;..;..;..;..;..;..;..;..;..;..
CANADA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;38 845;36 160;33 390;30 373;27 370;24 696;25 621;25 066;25 318;25 167;25 558;27 555;30 142;31 081;31 274;32 430;5 068;4 282;17 924
;;;Overnights visitors (tourists);;Thousands;19 145;18 771;18 265;17 935;17 142;15 737;16 219;16 016;16 344;16 059;16 537;17 977;19 971;20 883;21 134;22 145;2 960;3 062;12 824
;;;Same-day visitors (excursionists);;Thousands;19 700;17 390;15 125;12 439;10 228;8 959;9 402;9 050;8 974;9 108;9 021;9 578;10 171;10 198;10 140;10 284;2 108;1 220;5 100
;;;;of which, cruise passengers;Thousands;247;307;235;221;211;269;204;240;276;274;232;310;303;345;284;250;0;0;947
CAYMAN ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 953;1 967;2 197;2 008;1 856;1 792;1 886;1 710;1 829;1 721;1 993;2 102;2 097;2 147;2 384;2 334;660;..;1 028
;;;Overnights visitors (tourists);;Thousands;260;168;267;292;303;272;288;309;322;345;383;385;385;418;463;503;122;17;284
;;;Same-day visitors (excursionists);;Thousands;1 693;1 799;1 930;1 716;1 553;1 520;1 598;1 401;1 507;1 376;1 610;1 717;1 712;1 728;1 921;1 831;538;..;743
;;;;of which, cruise passengers;Thousands;1 693;1 799;1 930;1 716;1 553;1 520;1 598;1 401;1 507;1 376;1 610;1 717;1 712;1 728;1 921;1 831;538;..;743
CENTRAL AFRICAN REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;8;12;14;17;31;52;54;65;71;84;96;121;82;107;109;87;35;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CHAD;;;;;;;;;;;;;;;;;;;;;;;;
