countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MONACO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;250;286;313;328;324;265;279;295;292;328;329;331;336;355;347;363;159;218;327
;;;Same-day visitors (excursionists);;Thousands;125;133;180;182;232;236;322;285;233;245;194;255;182;166;169;182;1;..;55
;;;;of which, cruise passengers;Thousands;125;133;180;182;232;236;322;285;233;245;194;255;182;166;169;182;1;..;55
MONGOLIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;305;345;408;455;469;465;557;627;624;515;506;467;471;543;598;637;67;39;301
;;;Overnights visitors (tourists);;Thousands;301;339;404;452;446;412;456;460;476;418;393;386;404;469;529;577;59;33;286
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MONTENEGRO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;188;272;378;984;1 031;1 044;1 088;1 201;1 264;1 324;1 350;1 560;1 662;1 877;2 077;2 510;351;1 554;2 036
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MONTSERRAT;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;15,2;13,1;9,5;8,7;8,4;7,3;7,7;7,4;9,9;8,7;10,7;13,3;13,5;18,6;16,7;19,3;7,7;1,6;..
;;;Overnights visitors (tourists);;Thousands;10,1;9,7;8,0;7,7;7,4;6,3;6,0;5,4;7,3;7,2;8,8;8,9;8,7;9,5;10,2;10,4;4,5;1,6;..
;;;Same-day visitors (excursionists);;Thousands;5,1;3,4;1,5;1,0;1,0;1,0;1,7;2,0;2,6;1,5;1,9;4,3;4,8;9,0;6,5;8,9;3,1;..;..
;;;;of which, cruise passengers;Thousands;0,4;0,3;0,1;0,3;0,3;0,2;0,9;1,1;0,8;0,4;0,2;2,6;3,6;7,1;4,3;6,8;2,8;..;..
MOROCCO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 732;6 077;6 777;7 701;8 209;8 661;9 752;9 784;9 830;10 349;10 507;10 542;10 677;11 540;12 489;13 109;2 802;3 722;10 968
;;;Overnights visitors (tourists);;Thousands;5 477;5 843;6 558;7 408;7 879;8 341;9 288;9 342;9 375;10 046;10 283;10 177;10 332;11 349;12 289;12 932;2 778;3 722;10 869
;;;Same-day visitors (excursionists);;Thousands;256;233;218;293;330;319;464;442;455;303;224;365;345;191;200;177;24;..;99
;;;;of which, cruise passengers;Thousands;256;233;218;293;330;319;464;442;455;303;224;365;345;191;200;177;24;..;99
MOZAMBIQUE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;711;954;1 095;1 259;1 439;1 711;1 836;2 013;2 206;1 970;1 751;1 634;1 715;1 514;2 870;2 033;959;549;879
;;;Overnights visitors (tourists);;Thousands;470;578;664;771;1 193;1 461;1 718;1 902;2 113;1 886;1 661;1 552;1 639;1 447;2 743;2 019;952;492;..
;;;Same-day visitors (excursionists);;Thousands;241;376;431;488;246;250;118;111;93;83;90;82;76;67;127;14;7;57;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
MYANMAR;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;657;660;630;716;731;763;792;816;1 059;2 044;3 081;4 681;2 907;3 443;3 551;4 364;903;131;233
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NAMIBIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;986;856;961;1 048;1 079;1 100;1 114;1 163;1 245;1 327;1 429;1 488;1 551;1 581;1 639;1 651;187;261;528
;;;Overnights visitors (tourists);;Thousands;716;778;833;929;931;980;984;1 027;1 079;1 176;1 320;1 388;1 469;1 499;1 557;1 596;170;233;461
;;;Same-day visitors (excursionists);;Thousands;..;78;127;119;148;120;130;136;166;151;109;100;82;82;82;55;18;29;67
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NAURU;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NEPAL;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;385;375;384;527;500;510;603;736;803;798;790;539;753;940;1 173;1 197;230;151;615
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NETHERLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;9 646;10 012;10 739;11 008;10 104;9 921;10 883;11 300;11 680;12 783;13 925;15 007;15 828;17 924;18 780;20 129;7 265;6 248;16 063
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NEW CALEDONIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;177;182;219;227;256;230;282;348;390;494;529;558;625;626;576;474;79;..;139
;;;Overnights visitors (tourists);;Thousands;100;101;100;103;104;99;99;112;112;108;107;114;116;121;120;131;31;12;79
;;;Same-day visitors (excursionists);;Thousands;77;81;119;124;152;131;183;236;278;386;422;444;509;505;456;344;48;..;60
;;;;of which, cruise passengers;Thousands;77;81;119;124;152;131;183;236;278;386;422;444;509;505;456;344;48;..;60
NEW ZEALAND;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 334;2 366;2 409;2 455;2 483;2 473;2 530;2 617;2 574;2 710;2 854;3 129;3 494;3 723;3 858;3 888;996;207;1 434
;;;Overnights visitors (tourists);;Thousands;2 325;2 353;2 390;2 434;2 371;2 373;2 435;2 511;2 473;2 629;2 772;3 039;3 370;3 555;3 686;3 702;948;205;1 389
;;;Same-day visitors (excursionists);;Thousands;9;13;19;21;112;100;95;105;101;81;82;90;124;168;172;186;48;2;45
;;;;of which, cruise passengers;Thousands;9;13;19;21;36;26;19;22;19;35;33;28;30;42;44;56;29;..;4
NICARAGUA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;735;804;891;978;1 011;1 010;1 071;1 122;1 233;1 273;1 390;1 456;1 596;1 958;1 412;1 455;474;312;933
;;;Overnights visitors (tourists);;Thousands;615;712;749;800;858;932;1 011;1 060;1 180;1 229;1 330;1 386;1 504;1 787;1 256;1 295;384;222;818
;;;Same-day visitors (excursionists);;Thousands;120;92;142;178;153;78;60;61;53;44;61;70;92;171;157;159;90;90;115
;;;;of which, cruise passengers;Thousands;7;13;15;21;60;56;37;39;41;32;51;46;63;94;83;86;25;..;..
NIGER;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;57;58;60;48;73;66;74;82;94;123;135;135;152;164;157;192;85;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NIGERIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 646;2 778;3 056;5 239;5 820;6 053;6 113;3 765;4 673;4 038;4 803;6 017;5 265;5 182;5 254;5 361;1 209;1 246;1 271
;;;Overnights visitors (tourists);;Thousands;962;1 010;1 111;1 212;1 313;1 414;1 555;715;486;600;..;1 255;1 889;1 927;1 966;2 005;502;518;528
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NIUE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;11,6;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;2,6;2,8;3,0;3,5;4,7;4,7;6,2;6,1;5,0;7,0;7,4;7,7;8,9;9,8;10,5;10,2;1,3;0,2;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;1,8;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;1,8;..;..;..;..;..
NORTH MACEDONIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;165;197;202;230;255;259;262;327;351;400;425;486;510;631;707;758;118;294;537
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
NORTHERN MARIANA ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;536;507;436;389;397;354;379;341;401;439;460;479;531;660;518;487;89;13;97
;;;Overnights visitors (tourists);;Thousands;525;498;429;385;388;345;375;336;399;436;455;475;526;656;517;484;87;12;96
;;;Same-day visitors (excursionists);;Thousands;11;9;7;4;9;9;4;5;2;3;5;3;5;4;1;3;2;1;1
;;;;of which, cruise passengers;Thousands;11;9;7;4;9;9;4;5;2;3;5;3;5;4;1;3;2;1;1
NORWAY;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 130;5 418;5 738;6 017;6 054;6 114;6 578;6 693;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;3 628;3 824;4 070;4 377;4 347;4 346;4 767;4 963;4 538;4 778;4 855;5 361;5 960;6 252;5 688;5 879;1 397;1 435;4 979
;;;Same-day visitors (excursionists);;Thousands;1 502;1 594;1 668;1 640;1 707;1 768;1 811;1 730;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;302;324;355;332;381;430;411;457;588;620;574;511;659;749;852;901;..;..;..
OMAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 407;1 101;1 385;1 360;1 540;1 584;1 500;1 393;1 714;1 923;2 225;2 634;3 207;3 178;3 242;3 506;869;652;2 920
;;;Overnights visitors (tourists);;Thousands;1 195;891;1 066;1 223;1 373;1 521;1 441;1 018;1 241;1 392;1 611;1 909;2 335;2 316;2 301;2 500;622;464;2 059
;;;Same-day visitors (excursionists);;Thousands;212;211;319;136;166;64;59;375;473;531;614;725;872;863;941;1 006;246;188;861
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;257;202;127;148;217;222;193;283;110;17;85
PAKISTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;648;798;898;840;823;855;907;1 161;966;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
PALAU;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;89;81;82;88;81;71;85;111;120;108;140;162;138;123;106;94;18;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
PANAMA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 004;1 070;1 215;1 428;1 575;1 562;1 726;2 004;2 086;2 202;2 305;2 553;2 379;2 517;2 487;2 494;647;804;1 946
;;;Overnights visitors (tourists);;Thousands;621;702;843;1 103;1 247;1 200;1 324;1 473;1 606;1 658;1 745;2 110;1 921;1 843;1 785;1 753;414;618;1 488
;;;Same-day visitors (excursionists);;Thousands;383;368;372;325;328;362;402;531;480;544;560;443;458;674;702;741;233;186;298
;;;;of which, cruise passengers;Thousands;356;334;335;283;234;311;331;429;334;374;366;238;218;383;369;365;137;29;159
PAPUA NEW GUINEA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;120;126;146;165;175;182;191;199;198;182;195;211;39;17;69
;;;Overnights visitors (tourists);;Thousands;59;69;78;104;114;121;140;158;168;174;182;183;179;139;140;160;39;17;67
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;6;5;6;7;7;8;9;16;19;43;55;51;..;..;3
;;;;of which, cruise passengers;Thousands;..;..;..;..;6;5;6;7;7;8;9;16;19;43;55;51;..;..;3
PARAGUAY;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 589;2 648;2 830;3 005;3 118;3 183;3 171;3 365;3 655;3 538;3 455;4 102;4 318;4 744;4 183;4 368;1 077;571;1 548
;;;Overnights visitors (tourists);;Thousands;309;341;388;416;428;439;465;524;579;610;649;1 215;1 308;1 584;1 181;1 216;252;95;579
;;;Same-day visitors (excursionists);;Thousands;2 280;2 307;2 442;2 589;2 690;2 744;2 706;2 841;3 076;2 928;2 806;2 887;3 010;3 160;3 002;3 152;825;476;969
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
PERU;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 650;1 938;2 227;2 451;2 581;2 681;2 948;3 299;3 642;4 010;4 062;4 381;4 718;4 992;5 384;5 275;1 119;444;2 279
;;;Overnights visitors (tourists);;Thousands;1 350;1 571;1 721;1 916;2 058;2 140;2 299;2 598;2 846;3 164;3 215;3 456;3 744;4 032;4 419;4 372;897;444;2 009
;;;Same-day visitors (excursionists);;Thousands;300;367;506;535;523;541;649;701;796;847;847;925;974;960;965;903;222;..;269
;;;;of which, cruise passengers;Thousands;7;8;60;60;75;71;79;41;80;63;61;62;59;36;16;4;2;..;..
PHILIPPINES;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;2 291;2 623;2 843;3 092;3 139;3 017;3 520;3 917;4 273;4 681;4 833;5 361;5 967;6 621;7 168;8 261;1 483;164;2 654
;;;Same-day visitors (excursionists);;Thousands;8;2;4;17;21;21;25;8;11;16;60;70;72;114;228;162;25;..;..
;;;;of which, cruise passengers;Thousands;8;2;4;17;21;21;25;8;11;16;60;70;72;114;228;162;25;..;..
POLAND;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;61 918;64 606;65 115;66 208;59 935;53 840;58 340;60 745;67 390;72 310;73 750;77 743;80 476;83 804;85 946;88 515;51 076;51 026;71 814
;;;Overnights visitors (tourists);;Thousands;14 290;15 200;15 670;14 975;12 960;11 890;12 470;13 350;14 840;15 800;16 000;16 728;17 471;18 258;19 622;21 158;8 418;9 722;15 948
;;;Same-day visitors (excursionists);;Thousands;47 628;49 406;49 445;51 233;46 975;41 950;45 870;47 395;52 550;56 510;57 750;61 015;63 005;65 546;66 324;67 357;42 658;41 304;55 867
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
PORTUGAL;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;21 165;21 173;22 588;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;10 639;10 612;11 282;6 788;6 962;6 439;6 756;7 264;7 503;9 177;10 497;11 723;13 359;15 432;16 186;17 283;4 208;6 345;16 308
;;;Same-day visitors (excursionists);;Thousands;10 526;10 561;11 306;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
PUERTO RICO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;4 889;5 073;5 022;5 062;5 213;4 415;4 379;4 214;4 197;4 210;4 456;5 051;5 003;4 927;4 260;4 931;3 882;2 755;3 638
;;;Overnights visitors (tourists);;Thousands;3 541;3 686;3 722;3 687;3 716;3 183;3 186;3 048;3 069;3 172;3 246;3 542;3 736;3 513;3 068;3 180;2 617;2 755;3 273
;;;Same-day visitors (excursionists);;Thousands;1 348;1 387;1 300;1 375;1 497;1 232;1 194;1 166;1 128;1 038;1 210;1 509;1 267;1 414;1 192;1 751;1 265;0;364
;;;;of which, cruise passengers;Thousands;1 348;1 387;1 300;1 375;1 497;1 232;1 194;1 166;1 128;1 038;1 210;1 509;1 267;1 414;1 192;1 751;1 265;0;364
QATAR;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;1 482;1 700;2 057;2 324;2 612;2 839;2 941;2 938;2 256;1 819;2 137;582;611;2 560
;;;Overnights visitors (tourists);;Thousands;732;913;946;964;1 405;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
REUNION;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;551;574;601;255;..;..
;;;Overnights visitors (tourists);;Thousands;430;409;279;381;396;422;420;471;447;416;406;426;458;508;535;534;217;251;495
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;43;39;68;38;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;43;39;68;38;..;..
ROMANIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;6 600;5 839;6 037;7 722;8 862;7 575;7 498;7 611;7 937;8 019;8 442;9 331;10 223;10 926;11 720;12 815;5 023;6 789;12 697
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
RUSSIAN FEDERATION;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;22 064;22 201;22 486;22 909;23 676;21 339;22 281;24 932;28 177;30 792;32 421;33 729;24 571;24 390;24 551;24 419;6 359;..;..
;;;Overnights visitors (tourists);;Thousands;19 892;19 940;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;827;831;573;1 149;1 252;1 247;1 196;1 269;1 351;1 486;..;1 670;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;280;333;573;1 149;1 252;1 247;1 196;1 269;1 351;1 486;..;1 670;..;..;..;..;..;..;..
RWANDA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;531;610;669;664;667;908;1 061;1 122;1 220;1 298;1 377;1 570;1 711;1 634;497;511;..
;;;Overnights visitors (tourists);;Thousands;..;..;494;567;607;603;605;835;987;1 046;1 140;1 217;1 292;1 482;1 619;1 544;460;480;..
;;;Same-day visitors (excursionists);;Thousands;..;..;37;43;62;61;62;73;74;76;80;81;85;88;92;90;27;30;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SABA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;23,2;24,9;22,9;21,7;22,5;23,7;22,5;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;11,0;11,5;11,0;11,7;12,0;12,0;12,3;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;12,2;13,4;11,9;10,0;10,5;11,7;10,2;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SAINT KITTS AND NEVIS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;383;365;350;379;533;548;624;723;666;695;818;1 036;1 055;1 194;1 278;1 107;301;123;589
;;;Overnights visitors (tourists);;Thousands;118;141;139;123;128;83;98;104;104;107;113;118;116;115;125;120;30;20;80
;;;Same-day visitors (excursionists);;Thousands;265;224;211;256;405;465;526;619;562;588;704;918;939;1 078;1 152;987;271;102;509
;;;;of which, cruise passengers;Thousands;262;220;206;251;401;454;516;604;553;575;701;913;935;1 074;1 148;983;270;102;506
SAINT LUCIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;791;720;670;905;925;982;984;950;889;921;987;1 031;948;1 064;1 165;1 220;433;297;714
;;;Overnights visitors (tourists);;Thousands;298;318;303;287;296;278;306;312;307;319;338;345;348;386;395;424;131;199;356
;;;Same-day visitors (excursionists);;Thousands;492;402;367;618;629;704;678;638;582;602;649;686;600;678;770;796;302;98;358
;;;;of which, cruise passengers;Thousands;481;394;360;610;620;699;670;630;572;594;641;677;587;669;760;787;298;94;350
SAINT VINCENT AND THE GRENADINES;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;262;256;306;328;250;271;231;208;200;200;205;207;227;304;356;399;155;57;210
;;;Overnights visitors (tourists);;Thousands;87;96;97;90;84;75;72;74;74;72;71;75;79;76;80;84;27;24;59
;;;Same-day visitors (excursionists);;Thousands;175;161;209;238;166;196;159;134;126;128;134;131;148;227;275;315;128;33;151
;;;;of which, cruise passengers;Thousands;162;152;200;231;160;190;153;130;122;126;132;130;147;226;275;313;128;32;151
SAMOA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;116;122;122;129;130;128;135;125;132;139;146;158;172;181;24;3;51
;;;Overnights visitors (tourists);;Thousands;98;102;110;117;118;122;122;121;126;116;120;128;134;146;164;172;23;3;49
;;;Same-day visitors (excursionists);;Thousands;..;..;6;5;4;7;8;7;9;9;11;11;12;11;8;9;1;..;1
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
SAN MARINO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 812;2 107;2 136;2 164;2 112;2 056;1 976;2 038;1 869;1 905;2 004;1 888;2 000;1 937;1 874;1 904;1 015;1 354;..
;;;Overnights visitors (tourists);;Thousands;42;50;50;69;115;151;120;156;139;71;75;54;60;78;84;111;58;94;..
;;;Same-day visitors (excursionists);;Thousands;..;2 057;2 086;2 095;1 997;1 905;1 856;1 882;1 730;1 834;1 929;1 834;1 940;1 859;1 790;1 793;957;1 260;..
